course_link,canale,date_year,year,language,course_id,course_name,semester,professors,faculty
/cattedreonline/corso/M248/A/LM19WBASE/2024,A,2024,1,Inglese,M248,"Quantitative Methods For Finance",Primo Semestre,"Marco Nicolosi","Corporate finance"
/cattedreonline/corso/M248/B/LM19WBASE/2024,B,2024,1,Inglese,M248,"Quantitative Methods For Finance",Primo Semestre,"Alessandro Ramponi","Corporate finance"
/cattedreonline/corso/SMIS10/C/LMSMIBASE/2024,C,2024,1,Inglese,SMIS10,"Quantitative Methods For Management",Primo Semestre,"Francesco Morelli","Strategic management, innovation and sustainability"
/cattedreonline/corso/SMIS10/D/LMSMIBASE/2024,D,2024,1,Inglese,SMIS10,"Quantitative Methods For Management",Primo Semestre,"Marco Pirra","Strategic management, innovation and sustainability"
/cattedreonline/corso/ET30/0/3GSLMDV/2024,0,2024,5,Italiano,ET30,"Rapporti E Contratti Di Lavoro",I Semestre,"Raffaele Fabozzi","Giurisprudenza"
/cattedreonline/corso/CF01/A/LM19WBASE/2024,A,2024,1,Inglese,CF01,"Reading And Writing Academic Texts",Primo Semestre,"Pierluigi Murro","Corporate finance"
/cattedreonline/corso/CF01/B/LM19WBASE/2024,B,2024,1,Inglese,CF01,"Reading And Writing Academic Texts",Primo Semestre,"Pierluigi Murro","Corporate finance"
/cattedreonline/corso/SS4/0/19FLMF1/2024,0,2024,2,Inglese,SS4,"Real Estate Finance",Primo Semestre,"Gaetano Casertano","Economia e finanza"
/cattedreonline/corso/SS4/0/LM19WBASE/2024,0,2024,2,Inglese,SS4,"Real Estate Finance",Primo Semestre,"Gaetano Casertano","Corporate finance"
/cattedreonline/corso/T108/0/L22PSBASE/2024,0,2024,3,Italiano,T108,"Regione Euro-mediterranea: Immigrazione, Sicurezza E Integrazione",II Semestre,"Francesca Maria Corrao / Mohammed Hashas","Scienze politiche"
/cattedreonline/corso/SMDIM00020/0/1EEL2BASE/2024,0,2024,2,Italiano,SMDIM00020,"Regolamentazione Finanziaria E Digitalizzazione",II Semestre,"Massimo Roccia","Economia e management"
/cattedreonline/corso/SMDIM00020/0/L21BBBASE/2024,0,2024,2,Italiano,SMDIM00020,"Regolamentazione Finanziaria E Digitalizzazione",II Semestre,"Massimo Roccia","Economics and business"
/cattedreonline/corso/ET01/0/1EEL2BASE/2024,0,2024,3,Italiano,ET01,"Regolazione Finanziaria E Innovazione",II Semestre,"Mirella Pellegrini / Illa Sabbatelli","Economia e management"
/cattedreonline/corso/M378/0/LMPAGEEG/2024,0,2024,2,Inglese,M378,"Regulation By Independent Agencies",Primo Semestre,"Francesco Maria Salerno / Marta Simoncini","Policies and governance in europe"
/cattedreonline/corso/421/A/L22PSBASE/2024,A,2024,2,Italiano,421,"Relazioni Internazionali",I Semestre,"Raffaele Marchetti / Domenico Minniti","Scienze politiche"
/cattedreonline/corso/421/B/L22PSBASE/2024,B,2024,2,Italiano,421,"Relazioni Internazionali",I Semestre,"Silvia Menegazzi","Scienze politiche"
/cattedreonline/corso/PG01/0/LMPAGEBASE/2024,0,2024,1,Inglese,PG01,"Research Methods For Public Policy",Annualità Singola,"Bruno Jean Albert Cautres / Giacomo Sillari","Policies and governance in europe"
/cattedreonline/corso/LABVGMP02/0/LM19GMBASE/2024,0,2024,1,Inglese,LABVGMP02,"Research Methods For Social Sciences",Primo Semestre,"Lakshmi Balachandran Nair","Global management and politics"
/cattedreonline/corso/IR01/A/LM20IRBASE/2024,A,2024,1,Inglese,IR01,"Research Methods For Social Sciences",Primo Semestre,"Elisabetta Mannoni / Luca Secondi","International relations"
/cattedreonline/corso/IR01/B/LM20IRBASE/2024,B,2024,1,Inglese,IR01,"Research Methods For Social Sciences",Primo Semestre,"Elisabetta Mannoni / Carmine Pappalardo","International relations"
/cattedreonline/corso/M516/A/19MLMBASE/2024,A,2024,1,Inglese,M516,"Research Project Design",Primo Semestre,"Fabian Kurt Falk Homberg","Management"
