link,faculty
/cattedreonline/corso/T104/0/L22PSBASE/2024,"Scienze politiche"
/cattedreonline/corso/T104/0/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/EM08/0/LM19WBASE/2024,"Corporate finance"
/cattedreonline/corso/GMP05/0/LM19GMBASE/2024,"Global management and politics"
/cattedreonline/corso/M295/A/19MLMBASE/2024,"Management"
/cattedreonline/corso/M295/B/19MLMBASE/2024,"Management"
/cattedreonline/corso/EM82/0/LMPAGEEG/2024,"Policies and governance in europe"
/cattedreonline/corso/M014/0/19MLMMS/2024,"Management"
/cattedreonline/corso/TP02/0/3GSLMDZ/2024,"Giurisprudenza"
/cattedreonline/corso/EM24/0/LM19ABASE/2024,"Amministrazione, finanza e controllo"
/cattedreonline/corso/M467/0/LM20IRBASE/2024,"International relations"
/cattedreonline/corso/GMP06/0/LM19GMBASE/2024,"Global management and politics"
/cattedreonline/corso/ET35/0/L22PSBASE/2024,"Scienze politiche"
/cattedreonline/corso/EM51/0/LMPAGEBASE/2024,"Policies and governance in europe"
/cattedreonline/corso/M552/0/LMPAGEBASE/2024,"Policies and governance in europe"
/cattedreonline/corso/M318/0/3GSLMDP/2024,"Giurisprudenza"
/cattedreonline/corso/ACE08/0/L21BABASE/2024,"Business administration"
/cattedreonline/corso/BA016/0/L21BABASE/2024,"Business administration"
/cattedreonline/corso/GMP07/0/LM19GMBASE/2024,"Global management and politics"
/cattedreonline/corso/M219BI/0/LM19KBI/2024,"Marketing"
/cattedreonline/corso/DSM06/0/LMDSMBASE/2024,"Data science and management"
/cattedreonline/corso/GPLI04/0/3GSLMDL/2024,"Giurisprudenza"
/cattedreonline/corso/DSM11/0/LMDSMBASE/2024,"Data science and management"
/cattedreonline/corso/DSM04/0/LMDSMBASE/2024,"Data science and management"
/cattedreonline/corso/DSM05/0/LMDSMBASE/2024,"Data science and management"
/cattedreonline/corso/EM36/0/LMDSMBASE/2024,"Data science and management"
/cattedreonline/corso/EM72/0/19MLMBASE/2024,"Management"
/cattedreonline/corso/EM72/0/LMDSMBASE/2024,"Data science and management"
